date,,timestamp,open,high,low,close,volume,test,date,time,vwap
2021-04-12,51,2021-04-12 13:30:00+05:30,752.7,756.45,752.6,755.15,302924,0,2021-04-12,13:30:00+05:30,766.3982725011668
2021-04-12,52,2021-04-12 13:35:00+05:30,755.0,755.8,752.15,754.0,219443,0,2021-04-12,13:35:00+05:30,766.2673748113004
2021-04-12,53,2021-04-12 13:40:00+05:30,754.0,754.5,751.7,752.95,176708,0,2021-04-12,13:40:00+05:30,766.1551090626922
2021-04-12,54,2021-04-12 13:45:00+05:30,752.95,754.35,751.6,753.7,116931,0,2021-04-12,13:45:00+05:30,766.0860161109692
2021-04-12,55,2021-04-12 13:50:00+05:30,753.8,755.4,753.4,753.6,147868,0,2021-04-12,13:50:00+05:30,765.9990362564805
2021-04-12,56,2021-04-12 13:55:00+05:30,753.6,755.25,753.4,754.0,105830,0,2021-04-12,13:55:00+05:30,765.9395090022772
2021-04-12,57,2021-04-12 14:00:00+05:30,754.1,758.7,753.4,757.9,230472,0,2021-04-12,14:00:00+05:30,765.8535796586647
2021-04-12,58,2021-04-12 14:05:00+05:30,758.5,758.7,755.45,757.9,205528,0,2021-04-12,14:05:00+05:30,765.7784852639469
2021-04-12,59,2021-04-12 14:10:00+05:30,757.5,758.95,755.0,755.55,238301,0,2021-04-12,14:10:00+05:30,765.6677253421357
2021-04-12,60,2021-04-12 14:15:00+05:30,755.2,759.0,755.15,757.8,190721,0,2021-04-12,14:15:00+05:30,765.6001255191934
2021-04-12,61,2021-04-12 14:20:00+05:30,757.5,757.8,755.35,757.0,137493,0,2021-04-12,14:20:00+05:30,765.5471833827737
2021-04-12,62,2021-04-12 14:25:00+05:30,756.85,758.0,754.0,756.4,161231,0,2021-04-12,14:25:00+05:30,765.4816250051229
2021-04-12,63,2021-04-12 14:30:00+05:30,756.7,757.5,748.15,749.85,436156,0,2021-04-12,14:30:00+05:30,765.1843224062915
2021-04-12,64,2021-04-12 14:35:00+05:30,749.3,751.25,746.35,747.35,327883,0,2021-04-12,14:35:00+05:30,764.9329238829558
2021-04-12,65,2021-04-12 14:40:00+05:30,747.65,749.8,746.65,748.25,242736,0,2021-04-12,14:40:00+05:30,764.7606240374323
2021-04-12,66,2021-04-12 14:45:00+05:30,748.4,749.45,745.0,745.0,230385,0,2021-04-12,14:45:00+05:30,764.5688026702242
2021-04-12,67,2021-04-12 14:50:00+05:30,745.0,747.45,742.0,742.25,393337,0,2021-04-12,14:50:00+05:30,764.2049386149066
2021-04-12,68,2021-04-12 14:55:00+05:30,742.3,744.0,735.0,737.0,857006,0,2021-04-12,14:55:00+05:30,763.2717356913998
2021-04-12,69,2021-04-12 15:00:00+05:30,736.85,743.95,736.85,742.7,501189,0,2021-04-12,15:00:00+05:30,762.8671682489548
2021-04-12,70,2021-04-12 15:05:00+05:30,742.6,745.0,740.15,741.5,291971,0,2021-04-12,15:05:00+05:30,762.6251445631957
2021-04-12,71,2021-04-12 15:10:00+05:30,741.15,743.0,738.0,740.15,600286,0,2021-04-12,15:10:00+05:30,762.1136581823419
2021-04-12,72,2021-04-12 15:15:00+05:30,740.1,749.75,740.1,748.9,834798,0,2021-04-12,15:15:00+05:30,761.7082933835534
2021-04-12,73,2021-04-12 15:20:00+05:30,748.9,753.4,746.75,751.7,640633,0,2021-04-12,15:20:00+05:30,761.4780935223564
2021-04-12,74,2021-04-12 15:25:00+05:30,751.6,752.5,749.3,750.0,201049,0,2021-04-12,15:25:00+05:30,761.3958344566311
2021-04-13,75,2021-04-13 09:15:00+05:30,750.0,755.75,712.65,713.0,2936237,0,2021-04-13,09:15:00+05:30,713.0
2021-04-13,76,2021-04-13 09:20:00+05:30,712.7,723.6,704.0,721.15,2238402,0,2021-04-13,09:20:00+05:30,716.5254587421462
2021-04-13,77,2021-04-13 09:25:00+05:30,721.0,729.25,718.65,729.25,1210243,0,2021-04-13,09:25:00+05:30,718.9373728519963
2021-04-13,78,2021-04-13 09:30:00+05:30,729.55,734.0,725.45,732.5,1438521,0,2021-04-13,09:30:00+05:30,721.4311883907809
2021-04-13,79,2021-04-13 09:35:00+05:30,732.25,744.0,732.1,741.6,1435509,0,2021-04-13,09:35:00+05:30,724.558176808463
2021-04-13,80,2021-04-13 09:40:00+05:30,742.5,742.7,733.7,739.5,901281,0,2021-04-13,09:40:00+05:30,725.8836222353257
2021-04-13,81,2021-04-13 09:45:00+05:30,739.35,743.0,736.2,743.0,635293,0,2021-04-13,09:45:00+05:30,726.8908872143412
2021-04-13,82,2021-04-13 09:50:00+05:30,742.4,751.05,740.95,748.4,1463237,0,2021-04-13,09:50:00+05:30,729.4582777708575
2021-04-13,83,2021-04-13 09:55:00+05:30,748.3,749.1,740.3,743.05,835427,0,2021-04-13,09:55:00+05:30,730.3254506478085
2021-04-13,84,2021-04-13 10:00:00+05:30,743.55,746.05,737.15,740.4,662688,0,2021-04-13,10:00:00+05:30,730.8107571521887
2021-04-13,85,2021-04-13 10:05:00+05:30,740.4,746.0,738.1,745.9,659076,0,2021-04-13,10:05:00+05:30,731.5006168322037
2021-04-13,86,2021-04-13 10:10:00+05:30,746.0,748.0,742.9,743.2,510112,0,2021-04-13,10:10:00+05:30,731.9004550574949
2021-04-13,87,2021-04-13 10:15:00+05:30,742.9,743.35,737.0,737.0,491288,0,2021-04-13,10:15:00+05:30,732.0629571143197
2021-04-13,88,2021-04-13 10:20:00+05:30,737.0,739.55,732.35,739.55,869130,0,2021-04-13,10:20:00+05:30,732.4625049581113
2021-04-13,89,2021-04-13 10:25:00+05:30,739.45,739.95,733.25,734.0,323304,0,2021-04-13,10:25:00+05:30,732.4924318598934
